No,LicNum,Applicant,FirstOffer,SecondOffer,MinDealed,Avg,MinOfferCnt,MinDealedCnt,LastOffer,Dealed,Paid
201501,3912,1578,15522,17021,10000,22173,12,12,0.609828889,1417,1333
201504,3880,10646,11198,11426,12000,13702,1041,58,0.375576146,3880,3866
201505,2947,16393,13806,14321,17800,19496,88,82,0.619855683,2947,2943
201506,2937,19179,18143,19708,29100,31805,99,40,0.569744838,2937,2931
201507,2939,14948,27310,30113,49100,54237,19,10,0.566573947,2939,2927
201508,2945,7625,35037,38079,10800,50665,6,5,0.509809433,2945,2502
201509,3376,7299,16483,17157,15000,23788,212,20,0.37552184,3376,3340
201510,2969,10822,16410,17028,20000,23723,439,210,0.427175741,2969,2964
201511,2938,12267,18380,19388,25000,27617,429,219,0.496885093,2938,2932
201601,2934,12576,18443,19695,25800,28669,96,29,0.543062384,2934,2928
201602,2940,11541,18918,20477,27000,29043,154,74,0.547684896,2940,2933
201603,2941,11261,21734,23389,30100,31956,309,278,0.595364063,2941,2938
201604,2937,12371,25431,27427,36300,39658,57,18,0.548834144,2937,2930
201605,2940,11479,28353,30914,42600,45992,47,31,0.588031597,2940,2932
201606,2941,9075,30527,33653,45900,51237,10,10,0.622648507,2941,2923
201607,2951,7128,31022,34133,36500,48577,9,1,0.375213171,2951,2935
201608,2949,6719,28965,30680,34500,40501,32,17,0.622555428,2949,2943
201609,2939,7183,29042,30883,36300,39729,27,20,0.593765498,2939,2931
201610,2941,6666,30061,32325,38000,40894,179,34,0.393164363,2941,2933
201611,2941,6971,32511,34823,40000,42516,207,156,0.56658537,2941,2937
201612,2937,6498,31793,33896,37000,42320,14,14,0.617009896,2937,2926
201701,2934,6765,28488,30338,35000,38063,262,71,0.478839722,2934,2919
201702,2949,6620,30416,32551,38000,39584,240,234,0.613987465,2949,2945
201703,2938,7189,31988,34255,40100,42023,214,7,0.376374734,2938,2930
201704,2942,6939,34709,37150,41100,44390,29,5,0.392974444,2942,2930
201705,2945,6822,37354,39147,42300,45573,18,14,0.584194769,2945,2928
201706,2950,6545,38043,40269,44300,46759,56,7,0.380627188,2950,2941
201707,2942,6633,38694,40820,46000,47674,200,118,0.556326863,2942,2934
201708,2941,6978,41346,42702,49300,51282,53,48,0.60050081,2941,2939
201709,2935,12016,44786,47559,56800,58538,337,70,0.542254942,2935,2930
201710,2938,12205,45458,48871,65300,67408,80,68,0.619189803,2938,2930
201711,2941,11039,55612,59967,79200,82534,116,24,0.602656829,2941,2906
201712,2968,7675,60699,65927,82500,95103,1,1,0.576808657,2968,2924
